fiat,bank,supported_markets,fiat_symbol
BYN,Belarusbank,OKX,Br
RUB,RosBank,Binance Huobi Bybit OKX,₽
BYN,Bank_Transfer,Huobi OKX LocalBitcoin,Br
UAH,Bank_Transfer,Huobi Bybit OKX LocalBitcoin,₴
UAH,Wise,Binance Huobi Bybit OKX LocalBitcoin,₴
UAH,AdvCash,Binance Huobi Bybit OKX LocalBitcoin,₴
USD,AdvCash,Binance Huobi Bybit OKX LocalBitcoin,$
UAH,PrivatBank,Binance Huobi Bybit OKX,₴
UAH,Monobank,Binance Huobi Bybit OKX,₴
UAH,RaiffeisenBankAval,Binance Huobi Bybit OKX,₴
UAH,A-Bank,Huobi Bybit OKX,₴
UAH,Izibank,Huobi OKX,₴
BYN,Sberbank,Huobi OKX,Br
BYN,Alfa-bank,Huobi OKX,Br
BYN,Technobank,OKX,Br
BYN,MTBank,OKX,Br
USD,Wise,Binance Huobi OKX LocalBitcoin,$
USD,Skrill,Binance Huobi OKX LocalBitcoin,$
USD,AirTM,Binance Huobi OKX LocalBitcoin,$
USD,Payeer,Binance Huobi OKX LocalBitcoin,$
USD,Tinkoff,Binance Huobi OKX LocalBitcoin,$
USD,PerfectMoney,Binance Huobi OKX LocalBitcoin,$
USD,PayPal,OKX LocalBitcoin,$
USD,Bank_Transfer,Huobi OKX LocalBitcoin,$
USD,Revolut,Binance Huobi Bybit OKX LocalBitcoin,$
EUR,Payeer,Binance Huobi Bybit OKX LocalBitcoin,€
EUR,AdvCash,Binance Huobi Bybit OKX LocalBitcoin,€
EUR,Revolut,Binance Huobi Bybit OKX LocalBitcoin,€
EUR,Skrill,Binance Huobi Bybit OKX LocalBitcoin,€
EUR,Wise,Binance Huobi Bybit OKX LocalBitcoin,€
EUR,Bank_Transfer,Huobi OKX LocalBitcoin,€
GBP,Bank_Transfer,Huobi OKX LocalBitcoin,£
GBP,Revolut,Binance Huobi Bybit OKX LocalBitcoin,£
GBP,Skrill,Binance Huobi Bybit OKX LocalBitcoin,£
RUB,Tinkoff,Binance PexPay Huobi Bybit OKX LocalBitcoin,₽
RUB,Payeer,Binance PexPay Huobi Bybit OKX LocalBitcoin,₽
EUR,Sepa_Transfer,Binance Huobi Bybit LocalBitcoin,€
GBP,Sepa_Transfer,Binance Huobi Bybit LocalBitcoin,£
EUR,Sepa_Instant,Binance Huobi Bybit OKX,€
GBP,Wise,Binance Huobi Bybit OKX LocalBitcoin,£
GBP,AdvCash,Binance Huobi Bybit OKX LocalBitcoin,£
EUR,Tinkoff,Binance Huobi Bybit,€
KZT,Halyk,Binance Huobi Bybit OKX,₸
KZT,HomeCreditKz,Binance Huobi Bybit OKX,₸
KZT,Eurasian,Binance Huobi Bybit OKX,₸
KZT,Jysan,Binance Huobi Bybit OKX,₸
KZT,Kaspi,Binance Huobi Bybit OKX,₸
KZT,CenterCredit,Binance Huobi Bybit OKX,₸
KZT,Forte,Binance Huobi Bybit OKX,₸
UZS,Uzcard,Binance Huobi Bybit,som
UZS,Humo,Binance Huobi Bybit,som
UZS,UzbekNational,Binance Huobi Bybit,som
UZS,PayMe,Binance Huobi Bybit,som
KZT,Bank_Transfer,Huobi Bybit OKX LocalBitcoin,₸
UZS,Bank_Transfer,Huobi Bybit OKX LocalBitcoin,som
UZS,KapitalBank,Binance Huobi Bybit,som
TRY,Ziraat,Binance Huobi Bybit OKX,₺
TRY,Garanti,Binance Huobi Bybit OKX,₺
TRY,KuveytTurk,Binance Huobi Bybit OKX,₺
TRY,Papara,Binance Huobi Bybit OKX,₺
TRY,DenizBank,Binance OKX,₺
TRY,QNB,Binance Huobi Bybit OKX,₺
TRY,VakifBank,Binance OKX,₺
TRY,ISBank,Binance OKX,₺
TRY,Akbank,Binance OKX,₺
RUB,RaiffeisenBank,Binance PexPay Bybit OKX,₽
RUB,QIWI,Binance PexPay Huobi Bybit OKX LocalBitcoin,₽
RUB,AdvCash,Binance PexPay Huobi Bybit OKX LocalBitcoin,₽
RUB,SBP,PexPay Huobi OKX LocalBitcoin,₽
RUB,YandexMoney,Binance PexPay Huobi Bybit OKX,₽
RUB,Sberbank,PexPay Huobi OKX,₽
RUB,Alfa-bank,PexPay Huobi OKX,₽
